,Date,Open,High,Low,Close,Adj Close,Volume
62,"Jun 18, 2020","9,481.57","9,482.78","9,328.40","9,411.84","9,411.84","17,770,083,002"
63,"Jun 17, 2020","9,533.78","9,540.42","9,327.34","9,480.25","9,480.25","20,177,709,879"
64,"Jun 16, 2020","9,454.27","9,579.43","9,400.45","9,538.02","9,538.02","21,565,537,208"
65,"Jun 15, 2020","9,386.04","9,504.86","8,990.18","9,450.70","9,450.70","26,699,704,768"
66,"Jun 14, 2020","9,477.55","9,482.27","9,347.59","9,386.79","9,386.79","18,991,732,745"
67,"Jun 13, 2020","9,480.74","9,493.21","9,396.01","9,475.28","9,475.28","17,564,322,315"
68,"Jun 12, 2020","9,320.69","9,540.47","9,285.85","9,480.84","9,480.84","22,610,564,515"
69,"Jun 11, 2020","9,870.08","9,938.30","9,263.07","9,321.78","9,321.78","30,247,143,440"
70,"Jun 10, 2020","9,794.12","9,908.90","9,728.29","9,870.09","9,870.09","25,706,567,600"
71,"Jun 09, 2020","9,774.36","9,836.37","9,664.72","9,795.70","9,795.70","23,717,842,782"
72,"Jun 08, 2020","9,760.06","9,782.31","9,675.89","9,771.49","9,771.49","21,486,346,311"
73,"Jun 07, 2020","9,653.00","9,768.50","9,458.15","9,758.85","9,758.85","25,015,250,845"
74,"Jun 06, 2020","9,664.90","9,773.43","9,591.02","9,653.68","9,653.68","20,438,419,222"
75,"Jun 05, 2020","9,800.22","9,869.24","9,663.22","9,665.53","9,665.53","23,509,628,646"
76,"Jun 04, 2020","9,655.85","9,887.61","9,525.25","9,800.64","9,800.64","25,921,805,071"
77,"Jun 03, 2020","9,533.76","9,682.86","9,471.85","9,656.72","9,656.72","25,007,459,262"
78,"Jun 02, 2020","10,162.97","10,182.34","9,460.57","9,529.80","9,529.80","39,137,252,108"
79,"Jun 01, 2020","9,463.61","10,199.57","9,450.90","10,167.27","10,167.27","35,198,901,068"
80,"May 31, 2020","9,700.11","9,700.34","9,432.30","9,461.06","9,461.06","27,773,290,298"
81,"May 30, 2020","9,438.91","9,704.03","9,366.73","9,700.41","9,700.41","32,722,975,141"
82,"May 29, 2020","9,528.36","9,573.67","9,379.34","9,439.12","9,439.12","32,896,642,044"
83,"May 28, 2020","9,184.95","9,546.32","9,148.46","9,525.75","9,525.75","34,367,073,114"
84,"May 27, 2020","8,837.38","9,203.32","8,834.16","9,181.02","9,181.02","32,740,536,902"
85,"May 26, 2020","8,909.59","8,991.97","8,757.29","8,835.05","8,835.05","29,584,186,947"
86,"May 25, 2020","8,786.11","8,951.01","8,719.67","8,906.93","8,906.93","31,288,157,264"
87,"May 24, 2020","9,212.28","9,288.40","8,787.25","8,790.37","8,790.37","32,518,803,299"
88,"May 23, 2020","9,185.06","9,302.50","9,118.11","9,209.29","9,209.29","27,727,866,811"
89,"May 22, 2020","9,080.33","9,232.94","9,008.64","9,182.58","9,182.58","29,810,773,699"
90,"May 21, 2020","9,522.74","9,555.24","8,869.93","9,081.76","9,081.76","39,326,160,532"
91,"May 20, 2020","9,725.33","9,804.79","9,447.20","9,522.98","9,522.98","36,546,239,702"
92,"May 19, 2020","9,727.06","9,836.05","9,539.62","9,729.04","9,729.04","39,254,288,954"
93,"May 18, 2020","9,675.70","9,906.03","9,570.36","9,726.58","9,726.58","41,827,139,895"
94,"May 17, 2020","9,374.93","9,823.00","9,349.55","9,670.74","9,670.74","40,084,250,662"
95,"May 16, 2020","9,333.24","9,564.21","9,260.69","9,377.01","9,377.01","36,164,766,407"
96,"May 15, 2020","9,734.29","9,755.83","9,261.40","9,328.20","9,328.20","48,158,802,327"
97,"May 14, 2020","9,271.33","9,793.27","9,255.04","9,733.72","9,733.72","56,426,907,637"
98,"May 13, 2020","8,805.39","9,317.88","8,805.39","9,269.99","9,269.99","45,558,144,023"
99,"May 12, 2020","8,610.39","8,949.90","8,569.64","8,804.48","8,804.48","42,142,717,533"
